lemma,count
"(u'verb', u'\u05d4\u05db\u05d9\u05df')",191
"(u'verb', u'\u05d4\u05e2\u05d1\u05d9\u05e8')",190
"(u'verb', u'\u05d4\u05e1\u05ea\u05d5\u05d1\u05d1')",187
"(u'verb', u'\u05d4\u05ea\u05d2\u05e2\u05d2\u05e2')",183
"(u'verb', u'\u05d4\u05d7\u05dc')",181
"(u'verb', u'\u05e0\u05d5\u05ea\u05e8')",181
"(u'verb', u'\u05d4\u05ea\u05d9\u05d9\u05e9\u05d1')",178
"(u'verb', u'\u05de\u05ea')",177
"(u'verb', u'\u05e0\u05d3\u05de\u05d4')",176
"(u'verb', u'\u05d0\u05e4\u05e9\u05e8')",172
"(u'verb', u'\u05d5\u05d9\u05ea\u05e8')",172
"(u'verb', u'\u05e0\u05d6\u05db\u05e8')",172
"(u'verb', u'\u05ea\u05e4\u05e1')",172
"(u'verb', u'\u05e2\u05e0\u05d4')",171
"(u'verb', u'\u05e9\u05dc\u05d7')",166
"(u'verb', u'\u05e9\u05e0\u05d4')",165
"(u'verb', u'\u05d1\u05d9\u05e7\u05e8')",162
"(u'verb', u'\u05d6\u05e8\u05e7')",161
"(u'verb', u'\u05d4\u05d5\u05e8\u05d9\u05d3')",161
"(u'verb', u'\u05db\u05e2\u05e1')",160
"(u'verb', u'\u05d1\u05d3\u05e7')",160
"(u'verb', u'\u05d4\u05ea\u05e2\u05d5\u05e8\u05e8')",159
"(u'verb', u'\u05d4\u05db\u05e0\u05d9\u05e1')",159
"(u'verb', u'\u05e4\u05d9\u05d7\u05d3')",157
"(u'verb', u'\u05d4\u05e1\u05ea\u05d1\u05e8')",157
"(u'verb', u'\u05e4\u05d7\u05d3')",156
"(u'verb', u'\u05d7\u05d9\u05d1\u05e7')",153
"(u'verb', u'\u05d2\u05dc\u05d4')",151
"(u'verb', u'\u05e0\u05e2\u05dc\u05dd')",150
"(u'verb', u'\u05e0\u05e4\u05d2\u05e9')",149
"(u'verb', u'\u05e0\u05d4\u05e0\u05d4')",149
"(u'verb', u'\u05e6\u05d9\u05dc\u05dd')",146
"(u'verb', u'\u05e6\u05d9\u05e4\u05d4')",144
"(u'verb', u'\u05e7\u05e4\u05e5')",142
"(u'verb', u'\u05d4\u05d7\u05d6\u05d9\u05e7')",142
"(u'verb', u'\u05d4\u05d5\u05d1\u05d9\u05dc')",141
"(u'verb', u'\u05d4\u05d5\u05e1\u05d9\u05e3')",141
"(u'verb', u'\u05d0\u05d9\u05d7\u05dc')",141
"(u'verb', u'\u05e0\u05d9\u05e6\u05dc')",140
"(u'verb', u'\u05d4\u05e8\u05e1')",140
"(u'verb', u'\u05d4\u05e8\u05d9\u05dd')",138
"(u'verb', u'\u05ea\u05d4\u05d4')",138
"(u'verb', u'\u05d4\u05e1\u05ea\u05d3\u05e8')",137
"(u'verb', u'\u05d9\u05e6\u05e8')",137
"(u'verb', u'\u05d4\u05e7\u05e9\u05d9\u05d1')",136
"(u'verb', u'\u05d3\u05d0\u05d2')",134
"(u'verb', u'\u05e9\u05de\u05d7')",134
"(u'verb', u'\u05e4\u05e0\u05d4')",132
"(u'verb', u'\u05d4\u05ea\u05e8\u05d2\u05e9')",132
"(u'verb', u'\u05d4\u05d1\u05d9\u05d8')",131
"(u'verb', u'\u05e1\u05d1\u05dc')",130
"(u'verb', u'\u05d7\u05d2\u05d2')",130
"(u'verb', u'\u05d4\u05d6\u05de\u05d9\u05df')",128
"(u'verb', u'\u05d4\u05ea\u05db\u05d5\u05d5\u05df')",128
"(u'verb', u'\u05de\u05d9\u05d4\u05e8')",128
"(u'verb', u'\u05e0\u05e2\u05e9\u05d4')",128
"(u'verb', u'\u05d4\u05d7\u05d6\u05d9\u05e8')",128
"(u'verb', u'\u05e4\u05e8\u05e5')",127
"(u'verb', u'\u05d4\u05d5\u05d3\u05d4')",127
"(u'verb', u'\u05d4\u05ea\u05e7\u05e8\u05d1')",126
"(u'verb', u'\u05d4\u05d2\u05d9\u05d1')",126
"(u'verb', u'\u05d4\u05e4\u05e1\u05d9\u05d3')",125
"(u'verb', u'\u05e9\u05d1\u05e8')",125
"(u'verb', u'\u05db\u05de\u05d4')",125
"(u'verb', u'\u05e0\u05e9\u05d1\u05e8')",125
"(u'verb', u'\u05d4\u05e6\u05d8\u05e8\u05da')",125
"(u'verb', u'\u05d4\u05d5\u05db\u05df')",124
"(u'verb', u'\u05d7\u05d5\u05d5\u05d4')",123
"(u'verb', u'\u05d4\u05e2\u05e8\u05d9\u05da')",123
"(u'verb', u'\u05e0\u05e9\u05dd')",122
"(u'verb', u'\u05e0\u05e4\u05ea\u05d7')",122
"(u'verb', u'\u05e6\u05d9\u05d9\u05df')",122
"(u'verb', u'\u05e1\u05d9\u05d3\u05e8')",121
"(u'verb', u'\u05d4\u05e1\u05db\u05d9\u05dd')",120
"(u'verb', u'\u05e2\u05e6\u05dd')",119
"(u'verb', u'\u05e0\u05d2\u05e2')",119
"(u'verb', u'\u05e0\u05e7\u05e8\u05d0')",119
"(u'verb', u'\u05d4\u05d5\u05e4\u05d9\u05e2')",118
"(u'verb', u'\u05e2\u05e0\u05d9\u05d9\u05df')",118
"(u'verb', u'\u05d4\u05e2\u05d3\u05d9\u05e3')",117
"(u'verb', u'\u05d0\u05e1\u05e3')",117
"(u'verb', u'\u05d4\u05d6\u05d4')",116
"(u'verb', u'\u05d4\u05d7\u05dc\u05d9\u05e3')",116
"(u'verb', u'\u05d4\u05e2\u05dc\u05d4')",115
"(u'verb', u'\u05e8\u05e7\u05d3')",114
"(u'verb', u'\u05d2\u05d3\u05dc')",114
"(u'verb', u'\u05e2\u05d9\u05e6\u05d1\u05df')",114
"(u'verb', u'\u05e6\u05e2\u05d3')",113
"(u'verb', u'\u05d4\u05e6\u05d8\u05e2\u05e8')",113
"(u'verb', u'\u05d1\u05e0\u05d4')",113
"(u'verb', u'\u05e1\u05d2\u05e8')",113
"(u'verb', u'\u05d6\u05db\u05d4')",113
"(u'verb', u'\u05d4\u05ea\u05e7\u05e9\u05e8')",112
"(u'verb', u'\u05d4\u05ea\u05dc\u05d5\u05e0\u05df')",112
"(u'verb', u'\u05d4\u05d1\u05d7\u05d9\u05df')",112
"(u'verb', u'\u05e4\u05d2\u05e2')",111
"(u'verb', u'\u05ea\u05db\u05e0\u05df')",111
"(u'verb', u'\u05e0\u05dc\u05d7\u05dd')",111
"(u'verb', u'\u05d0\u05d9\u05d7\u05e8')",110
"(u'verb', u'\u05d4\u05e6\u05d9\u05e2')",108
"(u'verb', u'\u05e0\u05d5\u05dc\u05d3')",108
"(u'verb', u'\u05ea\u05d9\u05d0\u05e8')",107
"(u'verb', u'\u05e7\u05dc\u05e2')",106
"(u'verb', u'\u05d4\u05ea\u05d7\u05d1\u05e8')",105
"(u'verb', u'\u05d7\u05d9\u05d1\u05e8')",105
"(u'verb', u'\u05de\u05d9\u05dc\u05d0')",104
"(u'verb', u'\u05d2\u05de\u05e8')",103
"(u'verb', u'\u05d4\u05e9\u05d9\u05d2')",103
"(u'verb', u'\u05d4\u05e8\u05d2')",102
"(u'verb', u'\u05e8\u05d9\u05d1\u05e2')",102
"(u'verb', u'\u05e0\u05d4\u05d2')",102
"(u'verb', u'\u05d6\u05d6')",100
"(u'verb', u'\u05d4\u05e4\u05d7\u05d9\u05d3')",100
"(u'verb', u'\u05d7\u05e9')",99
"(u'verb', u'\u05d0\u05d5\u05e9\u05e8')",99
"(u'verb', u'\u05e0\u05de\u05e9\u05da')",99
"(u'verb', u'\u05e2\u05d5\u05d3\u05d3')",99
"(u'verb', u'\u05e9\u05d9\u05dc\u05dd')",98
"(u'verb', u'\u05e6\u05e4\u05d4')",98
"(u'verb', u'\u05e9\u05e8\u05d3')",97
"(u'verb', u'\u05e7\u05dc\u05d8')",97
"(u'verb', u'\u05d4\u05e8\u05d0\u05d4')",96
"(u'verb', u'\u05d7\u05dc\u05e3')",96
"(u'verb', u'\u05d4\u05ea\u05de\u05d5\u05d3\u05d3')",96
"(u'verb', u'\u05d4\u05e9\u05ea\u05de\u05e9')",95
"(u'verb', u'\u05dc\u05d9\u05d8\u05e3')",95
"(u'verb', u'\u05d3\u05d5\u05d1\u05e8')",95
"(u'verb', u'\u05e0\u05d9\u05d2\u05e9')",94
"(u'verb', u'\u05e0\u05d0\u05dc\u05e5')",93
"(u'verb', u'\u05d0\u05e8\u05d2\u05df')",93
"(u'verb', u'\u05d4\u05e4\u05e8\u05d9\u05e2')",91
"(u'verb', u'\u05e9\u05e8')",90
"(u'verb', u'\u05dc\u05d1\u05e9')",90
"(u'verb', u'\u05d2\u05e8')",90
"(u'verb', u'\u05e0\u05e8\u05d3\u05dd')",90
"(u'verb', u'\u05d4\u05e2\u05e0\u05d9\u05e7')",90
"(u'verb', u'\u05d4\u05d5\u05db\u05d9\u05d7')",88
"(u'verb', u'\u05e0\u05e4\u05e8\u05d3')",88
"(u'verb', u'\u05d4\u05e8\u05e9\u05d4')",88
"(u'verb', u'\u05d7\u05d3\u05e8')",87
"(u'verb', u'\u05d4\u05e9\u05e7\u05d9\u05e2')",86
"(u'verb', u'\u05d7\u05dc\u05dd')",86
"(u'verb', u'\u05d4\u05e6\u05d8\u05e8\u05e3')",86
"(u'verb', u'\u05d4\u05e9\u05ea\u05d3\u05dc')",86
"(u'verb', u'\u05d4\u05d2\u05dc\u05d4')",85
"(u'verb', u'\u05d7\u05e1\u05e8')",85
"(u'verb', u'\u05e9\u05db\u05d1')",84
"(u'verb', u'\u05de\u05e1\u05e8')",84
"(u'verb', u'\u05e9\u05d9\u05ea\u05e3')",84
"(u'verb', u'\u05e0\u05db\u05ea\u05d1')",84
"(u'verb', u'\u05d6\u05e8\u05dd')",84
"(u'verb', u'\u05e2\u05d3\u05db\u05df')",83
"(u'verb', u'\u05d4\u05ea\u05e4\u05d5\u05e6\u05e5')",83
"(u'verb', u'\u05d3\u05e8\u05e9')",83
"(u'verb', u'\u05d4\u05ea\u05d0\u05d9\u05dd')",83
"(u'verb', u'\u05e0\u05d9\u05ea\u05df')",82
"(u'verb', u'\u05e9\u05dc\u05d8')",82
"(u'verb', u'\u05d1\u05dc\u05d4')",81
"(u'verb', u'\u05d4\u05e1\u05ea\u05d9\u05d9\u05dd')",80
"(u'verb', u'\u05d7\u05e0\u05d4')",80
"(u'verb', u'\u05e1\u05d9\u05e8\u05d1')",79
"(u'verb', u'\u05d4\u05e9\u05e4\u05d9\u05e2')",79
"(u'verb', u'\u05d4\u05ea\u05e7\u05d9\u05d9\u05dd')",79
"(u'verb', u'\u05d1\u05d6\u05d1\u05d6')",78
"(u'verb', u'\u05d4\u05ea\u05d1\u05d2\u05e8')",78
"(u'verb', u'\u05e0\u05d7\u05e9\u05d1')",76
"(u'verb', u'\u05de\u05e6\u05e5')",76
"(u'verb', u'\u05e6\u05e8\u05d7')",76
"(u'verb', u'\u05e0\u05ea\u05e7\u05dc')",75
"(u'verb', u'\u05d4\u05d5\u05ea\u05da')",74
"(u'verb', u'\u05e0\u05d4\u05d9\u05d4')",74
"(u'verb', u'\u05ea\u05e8\u05dd')",74
"(u'verb', u'\u05d4\u05ea\u05e2\u05dc\u05dd')",74
"(u'verb', u'\u05e9\u05db\u05e0\u05e2')",74
"(u'verb', u'\u05d0\u05d1\u05d3')",74
"(u'verb', u'\u05d4\u05e9\u05dc\u05d9\u05dd')",73
"(u'verb', u'\u05d1\u05d7\u05df')",73
"(u'verb', u'\u05d3\u05d9\u05de\u05d9\u05d9\u05df')",73
"(u'verb', u'\u05d0\u05d9\u05d9\u05dd')",73
"(u'verb', u'\u05e1\u05d9\u05e4\u05e7')",73
"(u'verb', u'\u05e9\u05ea\u05e7')",72
"(u'verb', u'\u05d8\u05e2\u05d4')",72
"(u'verb', u'\u05e7\u05d1\u05e2')",72
"(u'verb', u'\u05d4\u05e9\u05ea\u05dc\u05d8')",72
"(u'verb', u'\u05e0\u05d0\u05d1\u05d3')",72
"(u'verb', u'\u05d8\u05d9\u05d9\u05dc')",72
"(u'verb', u'\u05e8\u05d5\u05e6\u05d4')",70
"(u'verb', u'\u05d4\u05e2\u05d9\u05e8')",70
"(u'verb', u'\u05de\u05db\u05e8')",69
"(u'verb', u'\u05e0\u05e2')",69
"(u'verb', u'\u05e0\u05d7')",69
"(u'verb', u'\u05ea\u05d9\u05e8\u05e5')",68
"(u'verb', u'\u05e7\u05d9\u05d9\u05dd')",68
"(u'verb', u'\u05d4\u05e6\u05d9\u05e7')",68
"(u'verb', u'\u05d4\u05e6\u05d7\u05d9\u05e7')",68
"(u'verb', u'\u05ea\u05d9\u05e2\u05e9')",67
"(u'verb', u'\u05e2\u05d9\u05d9\u05e3')",67
"(u'verb', u'\u05d4\u05e2\u05d6')",67
"(u'verb', u'\u05dc\u05d9\u05de\u05d3')",67
"(u'verb', u'\u05d0\u05d7\u05d6')",67
"(u'verb', u'\u05de\u05e9')",67
"(u'verb', u'\u05d4\u05ea\u05d0\u05e8\u05d2\u05df')",67
"(u'verb', u'\u05d4\u05e8\u05d2\u05d9\u05d6')",66
"(u'verb', u'\u05d3\u05e4\u05e7')",66
"(u'verb', u'\u05de\u05d9\u05db\u05df')",66
"(u'verb', u'\u05d4\u05e9\u05ea\u05d7\u05e8\u05e8')",66
"(u'verb', u'\u05e9\u05e7\u05e2')",65
"(u'verb', u'\u05d4\u05e2\u05d9\u05e3')",65
"(u'verb', u'\u05d1\u05d9\u05dc\u05d4')",65
"(u'verb', u'\u05ea\u05e7\u05e9\u05e8')",65
"(u'verb', u'\u05e4\u05e8\u05e1\u05dd')",65
"(u'verb', u'\u05d4\u05d5\u05d6\u05de\u05df')",64
"(u'verb', u'\u05e4\u05d9\u05ea\u05d7')",64
"(u'verb', u'\u05d4\u05ea\u05d9\u05d9\u05d7\u05e1')",64
"(u'verb', u'\u05e1\u05de\u05da')",64
"(u'verb', u'\u05d6\u05d9\u05d9\u05df')",63
"(u'verb', u'\u05ea\u05d9\u05e7\u05df')",63
"(u'verb', u'\u05d4\u05ea\u05d1\u05e8\u05e8')",63
"(u'verb', u'\u05d7\u05e9\u05e9')",63
"(u'verb', u'\u05d4\u05e8\u05d2\u05d9\u05e2')",62
"(u'verb', u'\u05d7\u05d9\u05dc\u05e7')",62
"(u'verb', u'\u05d4\u05ea\u05d0\u05de\u05df')",62
"(u'verb', u'\u05d4\u05e6\u05d1\u05d9\u05e2')",62
"(u'verb', u'\u05d7\u05d8\u05e3')",62
"(u'verb', u'\u05d4\u05ea\u05e4\u05e8\u05e5')",62
"(u'verb', u'\u05d6\u05d9\u05d4\u05d4')",62
"(u'verb', u'\u05e2\u05e3')",61
"(u'verb', u'\u05e1\u05dc\u05d7')",61
"(u'verb', u'\u05de\u05d7\u05e7')",61
"(u'verb', u'\u05e4\u05e2\u05dc')",61
"(u'verb', u'\u05e0\u05d9\u05e9\u05e7')",61
"(u'verb', u'\u05e7\u05e8\u05e2')",61
"(u'verb', u'\u05e0\u05d9\u05d4\u05dc')",61
"(u'verb', u'\u05d1\u05d9\u05e6\u05e2')",61
"(u'verb', u'\u05e8\u05e9\u05dd')",60
"(u'verb', u'\u05d4\u05d5\u05d3\u05d9\u05e2')",59
"(u'verb', u'\u05d4\u05e7\u05d3\u05d9\u05e9')",59
"(u'verb', u'\u05d4\u05ea\u05dc\u05d4\u05d1')",59
"(u'verb', u'\u05d4\u05de\u05e6\u05d9\u05d0')",58
"(u'verb', u'\u05e0\u05d9\u05e7\u05d4')",58
"(u'verb', u'\u05d4\u05ea\u05d2\u05dc\u05d4')",58
"(u'verb', u'\u05d4\u05ea\u05e2\u05e7\u05e9')",58
"(u'verb', u'\u05d4\u05e9\u05ea\u05ea\u05e3')",58
"(u'verb', u'\u05de\u05e9\u05da')",58
"(u'verb', u'\u05e0\u05d4\u05e4\u05da')",57
"(u'verb', u'\u05d4\u05ea\u05e0\u05d4\u05d2')",57
"(u'verb', u'\u05d4\u05e9\u05ea\u05d2\u05e2')",57
"(u'verb', u'\u05d4\u05ea\u05db\u05d5\u05e0\u05df')",57
"(u'verb', u'\u05e9\u05d7\u05e8\u05e8')",57
"(u'verb', u'\u05d7\u05dc\u05e7')",56
"(u'verb', u'\u05d4\u05d6\u05d9\u05d6')",56
"(u'verb', u'\u05d4\u05ea\u05d7\u05e9\u05d1')",55
"(u'verb', u'\u05e9\u05d0\u05e3')",55
"(u'verb', u'\u05e6\u05de\u05d7')",55
"(u'verb', u'\u05e9\u05d9\u05e7\u05e8')",55
"(u'verb', u'\u05d9\u05d9\u05e2\u05dc')",55
"(u'verb', u'\u05d4\u05d5\u05e4\u05ea\u05e2')",55
"(u'verb', u'\u05e0\u05ea\u05e7\u05e2')",55
"(u'verb', u'\u05de\u05e0\u05e2')",55
"(u'verb', u'\u05e0\u05e9\u05d1\u05e2')",54
"(u'verb', u'\u05d4\u05ea\u05e7\u05dc\u05d7')",54
"(u'verb', u'\u05dc\u05d7\u05e5')",54
"(u'verb', u'\u05e1\u05d9\u05de\u05df')",54
"(u'verb', u'\u05d3\u05d7\u05e3')",54
"(u'verb', u'\u05e0\u05e4\u05d8\u05e8')",53
"(u'verb', u'\u05d4\u05ea\u05e8\u05d7\u05e7')",53
"(u'verb', u'\u05d4\u05e8\u05d1\u05d9\u05e5')",53
"(u'verb', u'\u05e1\u05d9\u05db\u05dd')",53
"(u'verb', u'\u05d4\u05ea\u05e7\u05d3\u05dd')",53
"(u'verb', u'\u05d4\u05e8\u05d9\u05d7')",53
"(u'verb', u'\u05d8\u05e1')",53
"(u'verb', u'\u05dc\u05d9\u05e7\u05e7')",53
"(u'verb', u'\u05d4\u05ea\u05d2\u05d9\u05d9\u05e1')",53
"(u'verb', u'\u05d4\u05ea\u05d0\u05db\u05d6\u05d1')",52
"(u'verb', u'\u05d4\u05e9\u05ea\u05e4\u05e8')",52
"(u'verb', u'\u05e0\u05d9\u05d7\u05e9')",52
"(u'verb', u'\u05e0\u05d3\u05d1\u05e8')",51
"(u'verb', u'\u05d7\u05dc\u05d4')",51
"(u'verb', u'\u05d4\u05ea\u05e2\u05e1\u05e7')",51
"(u'verb', u'\u05d8\u05e2\u05dd')",51
"(u'verb', u'\u05e0\u05e9\u05db\u05d7')",50
"(u'verb', u'\u05d4\u05ea\u05dc\u05d1\u05e9')",50
"(u'verb', u'\u05d4\u05d5\u05ea\u05d9\u05e8')",50
"(u'verb', u'\u05e0\u05d5\u05e6\u05e8')",50
"(u'verb', u'\u05d4\u05d1\u05d9\u05e2')",50
"(u'verb', u'\u05d4\u05e6\u05d9\u05dc')",50
"(u'verb', u'\u05d4\u05ea\u05e0\u05e9\u05e7')",50
"(u'verb', u'\u05d4\u05e8\u05d5\u05d5\u05d9\u05d7')",50
"(u'verb', u'\u05d4\u05e9\u05ea\u05d9\u05df')",49
"(u'verb', u'\u05e9\u05e8\u05e3')",49
"(u'verb', u'\u05d0\u05db\u05d6\u05d1')",49
"(u'verb', u'\u05d4\u05d2\u05d3\u05d9\u05e8')",49
"(u'verb', u'\u05d4\u05ea\u05d1\u05d5\u05e0\u05df')",48
"(u'verb', u'\u05d4\u05d5\u05e9\u05d9\u05d8')",48
"(u'verb', u'\u05db\u05dc\u05dc')",48
"(u'verb', u'\u05e0\u05d9\u05d2\u05df')",48
"(u'verb', u'\u05e0\u05e1\u05d2\u05e8')",48
"(u'verb', u'\u05d4\u05ea\u05e8\u05d2\u05dc')",48
"(u'verb', u'\u05d8\u05d9\u05e4\u05dc')",47
"(u'verb', u'\u05e2\u05e1\u05e7')",47
"(u'verb', u'\u05d4\u05ea\u05e2\u05e6\u05d1\u05df')",46
"(u'verb', u'\u05d4\u05d2\u05d9\u05e9')",46
"(u'verb', u'\u05e1\u05e4\u05e8')",46
"(u'verb', u'\u05e7\u05d1\u05dc')",46
"(u'verb', u'\u05d4\u05e4\u05ea\u05d9\u05e2')",46
"(u'verb', u'\u05e0\u05d0\u05de\u05e8')",46
"(u'verb', u'\u05d4\u05ea\u05d7\u05dc\u05e3')",46
"(u'verb', u'\u05d4\u05d3\u05dc\u05d9\u05e7')",46
"(u'verb', u'\u05e0\u05e8\u05d2\u05e2')",45
"(u'verb', u'\u05dc\u05d7\u05e9')",45
"(u'verb', u'\u05d4\u05ea\u05e4\u05dc\u05d0')",45
"(u'verb', u'\u05d4\u05ea\u05e4\u05ea\u05d7')",45
"(u'verb', u'\u05e4\u05e1\u05e4\u05e1')",45
"(u'verb', u'\u05e0\u05e2\u05de\u05d3')",45
"(u'verb', u'\u05e6\u05d9\u05d9\u05e8')",44
"(u'verb', u'\u05d9\u05d9\u05e6\u05d0')",44
"(u'verb', u'\u05d4\u05ea\u05e2\u05e8\u05d1\u05d1')",44
"(u'verb', u'\u05d4\u05d6\u05d9\u05e7')",44
"(u'verb', u'\u05e1\u05d7\u05d1')",44
"(u'verb', u'\u05db\u05d1\u05e9')",43
"(u'verb', u'\u05d4\u05e2\u05de\u05d9\u05d3')",43
"(u'verb', u'\u05e4\u05e8\u05e9')",43
"(u'verb', u'\u05e0\u05d7\u05ea')",43
"(u'verb', u'\u05e0\u05e2\u05e6\u05e8')",43
"(u'verb', u'\u05e2\u05d5\u05e0\u05d9\u05df')",43
"(u'verb', u'\u05e4\u05ea\u05e8')",43
"(u'verb', u'\u05e2\u05d9\u05e9\u05df')",43
"(u'verb', u'\u05d4\u05d9\u05d5\u05d5\u05d4')",42
"(u'verb', u'\u05d1\u05d9\u05e8\u05e8')",42
"(u'verb', u'\u05e0\u05db\u05e9\u05dc')",42
"(u'verb', u'\u05d4\u05e4\u05e2\u05d9\u05dc')",42
"(u'verb', u'\u05db\u05d1\u05d4')",42
