lemma,count
"(u'noun', u'\u05db\u05d9\u05e3')",523
"(u'noun', u'\u05e9\u05d9\u05e8')",519
"(u'noun', u'\u05e7\u05d1\u05d5\u05e6\u05d4')",517
"(u'noun', u'\u05d7\u05d3\u05e8')",517
"(u'noun', u'\u05e1\u05e8\u05d8')",513
"(u'noun', u'\u05e2\u05d9\u05df')",502
"(u'noun', u'\u05db\u05d5\u05d7')",496
"(u'noun', u'\u05e9\u05e0\u05d9')",489
"(u'noun', u'\u05db\u05d3\u05d5\u05e8\u05e1\u05dc')",479
"(u'noun', u'\u05d0\u05d3\u05dd')",467
"(u'noun', u'\u05e4\u05e0\u05d9\u05dd')",466
"(u'noun', u'\u05d7\u05d5\u05e4\u05e9')",460
"(u'noun', u'\u05e4\u05e1\u05d8\u05d9\u05d1\u05dc')",453
"(u'noun', u'\u05d0\u05d9')",438
"(u'noun', u'\u05dc\u05d9\u05dc\u05d4')",431
"(u'noun', u'\u05d7\u05dc\u05e7')",427
"(u'noun', u'\u05d2\u05d5\u05e3')",422
"(u'noun', u'\u05ea\u05de\u05d5\u05e0\u05d4')",420
"(u'noun', u'\u05db\u05d9\u05ea\u05d4')",416
"(u'noun', u'\u05e2\u05d1\u05d5\u05d3\u05d4')",414
"(u'noun', u'\u05e2\u05e0\u05d9\u05d9\u05df')",408
"(u'noun', u'\u05d4\u05d9\u05d5\u05ea')",398
"(u'noun', u'\u05d7\u05e5')",396
"(u'noun', u'\u05de\u05e9\u05e4\u05d7\u05d4')",393
"(u'noun', u'\u05e6\u05d3')",392
"(u'noun', u'\u05e8\u05d2\u05dc')",391
"(u'noun', u'\u05db\u05d0\u05d1')",384
"(u'noun', u'\u05d7\u05d5\u05d3\u05e9')",384
"(u'noun', u'\u05e1\u05d9\u05e4\u05d5\u05e8')",379
"(u'noun', u'\u05e9\u05e0\u05d9\u05d9\u05d4')",373
"(u'noun', u'\u05de\u05d1\u05d7\u05df')",370
"(u'noun', u'\u05d4\u05e8\u05d2\u05e9\u05d4')",365
"(u'noun', u'\u05d2\u05d1\u05e8')",363
"(u'noun', u'\u05e4\u05d4')",362
"(u'noun', u'\u05e6\u05d5\u05e8\u05d4')",360
"(u'noun', u'\u05ea\u05e7\u05d5\u05e4\u05d4')",354
"(u'noun', u'\u05db\u05d3\u05d5\u05e8')",351
"(u'noun', u'\u05d0\u05de\u05ea')",348
"(u'noun', u'\u05de\u05d2\u05e8\u05e9')",345
"(u'noun', u'\u05d9\u05dd')",345
"(u'noun', u'\u05e8\u05d5\u05d7')",342
"(u'noun', u'\u05de\u05d9\u05dd')",338
"(u'noun', u'\u05d7\u05d5\u05e5')",332
"(u'noun', u'\u05e9\u05d0\u05dc\u05d4')",331
"(u'noun', u'\u05d3\u05e7\u05d4')",329
"(u'noun', u'\u05e9\u05e7\u05d8')",321
"(u'noun', u'\u05de\u05e1\u05e4\u05e8')",321
"(u'noun', u'\u05e8\u05d5\u05d1')",318
"(u'noun', u'\u05ea\u05d7\u05d5\u05e9\u05d4')",307
"(u'noun', u'\u05d0\u05d5\u05e4\u05df')",302
"(u'noun', u'\u05e2\u05e0\u05d9')",302
"(u'noun', u'\u05d7\u05d2')",299
"(u'noun', u'\u05d2\u05d9\u05dc')",299
"(u'noun', u'\u05e2\u05d9\u05e8')",295
"(u'noun', u'\u05d4\u05d5\u05e8\u05d4')",295
"(u'noun', u'\u05de\u05d6\u05dc')",291
"(u'noun', u'\u05d0\u05d5\u05d5\u05d9\u05e8')",290
"(u'noun', u'\u05de\u05d7\u05e9\u05d1\u05d4')",290
"(u'noun', u'\u05d4\u05de\u05d5\u05df')",289
"(u'noun', u'\u05e9\u05d9\u05d7\u05d4')",283
"(u'noun', u'\u05e6\u05d1\u05e2')",282
"(u'noun', u'\u05d4\u05ea\u05d7\u05dc\u05d4')",281
"(u'noun', u'\u05db\u05e1\u05e3')",279
"(u'noun', u'\u05d7\u05dc\u05d5\u05dd')",277
"(u'noun', u'\u05e7\u05d5\u05dc')",268
"(u'noun', u'\u05de\u05d7\u05e9\u05d1')",266
"(u'noun', u'\u05d0\u05d9\u05de\u05d5\u05df')",261
"(u'noun', u'\u05e2\u05d3')",260
"(u'noun', u'\u05e9\u05dc\u05d5\u05dd')",259
"(u'noun', u'\u05e0\u05d5\u05e9\u05d0')",258
"(u'noun', u'\u05e9\u05dc\u05d1')",255
"(u'noun', u'\u05e2\u05dd')",252
"(u'noun', u'\u05e8\u05e6\u05d5\u05df')",250
"(u'noun', u'\u05e8\u05d2\u05e9')",250
"(u'noun', u'\u05e7\u05d8\u05e2')",247
"(u'noun', u'\u05de\u05d5\u05d6\u05d9\u05e7\u05d4')",247
"(u'noun', u'\u05d4\u05d5\u05de\u05d5')",245
"(u'noun', u'\u05de\u05e7\u05e8\u05d4')",245
"(u'noun', u'\u05de\u05e1\u05d9\u05d1\u05d4')",244
"(u'noun', u'\u05d0\u05dd')",244
"(u'noun', u'\u05d0\u05e8\u05e5')",238
"(u'noun', u'\u05d1\u05e2\u05d9\u05d4')",238
"(u'noun', u'\u05de\u05d5\u05e8\u05d4')",238
"(u'noun', u'\u05e1\u05dc')",237
"(u'noun', u'\u05d3\u05de\u05e2\u05d4')",236
"(u'noun', u'%')",234
"(u'noun', u'\u05d0\u05d5\u05d8\u05d5\u05d1\u05d5\u05e1')",233
"(u'noun', u'\u05e2\u05d5\u05d1\u05d3\u05d4')",232
"(u'noun', u'\u05ea\u05d2\u05d5\u05d1\u05d4')",231
"(u'noun', u'\u05d8\u05e2\u05dd')",230
"(u'noun', u'\u05d1\u05d2\u05e8\u05d5\u05ea')",230
"(u'noun', u'\u05d3\u05e2\u05d4')",230
"(u'noun', u'\u05d0\u05d9\u05e4\u05d4')",228
"(u'noun', u'\u05d7\u05d5\u05d5\u05d9\u05d4')",226
"(u'noun', u'\u05e2\u05e6\u05dd')",225
"(u'noun', u'\u05e6\u05d7\u05d5\u05e7')",225
"(u'noun', u'\u05dc\u05d9\u05de\u05d5\u05d3')",221
"(u'noun', u'\u05d9\u05db\u05d5\u05dc\u05ea')",219
"(u'noun', u'\u05de\u05e9\u05e4\u05d8')",217
"(u'noun', u'\u05db\u05d9\u05d5\u05d5\u05df')",214
"(u'noun', u'\u05e9\u05d9\u05e0\u05d5\u05d9')",213
"(u'noun', u'\u05e9\u05d9\u05e2\u05d5\u05e8')",212
"(u'noun', u'\u05e1\u05d9\u05d5\u05dd')",211
"(u'noun', u'\u05d1\u05d7\u05d9\u05e0\u05d4')",210
"(u'noun', u'\u05e0\u05e7\u05d5\u05d3\u05d4')",209
"(u'noun', u'\u05e9\u05de\u05d7\u05d4')",208
"(u'noun', u'\u05d0\u05d5\u05e4\u05e7')",207
"(u'noun', u'\u05d0\u05e8\u05d5\u05d7\u05d4')",207
"(u'noun', u'\u05e6\u05d1\u05d0')",205
"(u'noun', u'\u05e9\u05d7\u05e7\u05df')",204
"(u'noun', u'\u05d6\u05d5\u05d2')",203
"(u'noun', u'\u05d2\u05df')",203
"(u'noun', u'\u05d3\u05dc\u05ea')",203
"(u'noun', u'\u05e1\u05d1\u05d0')",202
"(u'noun', u'\u05d4\u05e6\u05dc\u05d7\u05d4')",200
"(u'noun', u'\u05e2\u05d1\u05e8')",199
"(u'noun', u'\u05de\u05d0\u05de\u05df')",199
"(u'noun', u'\u05e4\u05d7\u05d3')",198
"(u'noun', u'\u05e9\u05d9\u05e0\u05d4')",196
"(u'noun', u'\u05d9\u05d5\u05e4\u05d9')",195
"(u'noun', u'\u05e9\u05d8\u05d5\u05ea')",195
"(u'noun', u'\u05e8\u05d7\u05d5\u05d1')",194
"(u'noun', u'\u05de\u05d9\u05d8\u05d4')",194
"(u'noun', u'\u05d0\u05d5\u05db\u05dc')",194
"(u'noun', u'\u05d2\u05e9\u05dd')",190
"(u'noun', u'\u05e8\u05d9\u05d7')",188
"(u'noun', u'\u05de\u05d5\u05e9\u05d2')",186
"(u'noun', u'\u05de\u05d1\u05d8')",184
"(u'noun', u'\u05d4\u05d5\u05dc\u05d3\u05ea')",184
"(u'noun', u'\u05e7\u05e9\u05e8')",180
"(u'noun', u'\u05e2\u05e8\u05da')",180
"(u'noun', u'\u05d1\u05e2\u05dc')",180
"(u'noun', u'\u05d8\u05dc\u05e4\u05d5\u05df')",180
"(u'noun', u'\u05e1\u05d5\u05d2')",178
"(u'noun', u'\u05d7\u05d5\u05dd')",178
"(u'noun', u'\u05e9\u05e7\u05dc')",178
"(u'noun', u'\u05dc\u05d7\u05e5')",177
"(u'noun', u'\u05de\u05e9\u05de\u05e2\u05d5\u05ea')",176
"(u'noun', u'\u05d6\u05d9\u05df')",173
"(u'noun', u'\u05d0\u05d5\u05e8')",172
"(u'noun', u'\u05d1\u05d2\u05d3')",172
"(u'noun', u'\u05d8\u05d9\u05d5\u05dc')",172
"(u'noun', u'\u05d8\u05dc\u05d5\u05d5\u05d9\u05d6\u05d9\u05d4')",171
"(u'noun', u'\u05e9\u05d0\u05e8')",171
"(u'noun', u'\u05ea\u05d7\u05e0\u05d4')",170
"(u'noun', u'\u05e9\u05d9\u05e2\u05e8')",169
"(u'noun', u'\u05db\u05dc\u05dc')",168
"(u'noun', u'\u05d3\u05e3')",166
"(u'noun', u'\u05de\u05ea\u05de\u05d8\u05d9\u05e7\u05d4')",166
"(u'noun', u'\u05de\u05d3\u05d9\u05e0\u05d4')",165
"(u'noun', u'\u05d0\u05de\u05e6\u05e2')",164
"(u'noun', u'\u05d0\u05ea\u05e8')",163
"(u'noun', u'\u05e6\u05e2\u05d3')",163
"(u'noun', u'\u05e4\u05e8\u05e6\u05d5\u05e3')",163
"(u'noun', u'\u05d7\u05d5\u05dc\u05e6\u05d4')",162
"(u'noun', u'\u05d6\u05db\u05d5\u05ea')",162
"(u'noun', u'\u05e1\u05d9\u05d1\u05d4')",162
"(u'noun', u'\u05e8\u05db\u05d1\u05ea')",162
"(u'noun', u'\u05db\u05e0\u05d9\u05e1\u05d4')",161
"(u'noun', u'\u05dc\u05e9\u05d5\u05df')",160
"(u'noun', u'\u05d1\u05e8\u05d9\u05db\u05d4')",160
"(u'noun', u'\u05d0\u05dc\u05d5\u05d4\u05d9\u05dd')",159
"(u'noun', u'\u05ea\u05d4\u05d9\u05d9\u05d4')",159
"(u'noun', u'\u05d4\u05de\u05e9\u05da')",157
"(u'noun', u'\u05de\u05e6\u05dc\u05de\u05d4')",156
"(u'noun', u'\u05d7\u05d5\u05e8\u05e3')",156
"(u'noun', u'\u05d4\u05d1\u05e0\u05d4')",156
"(u'noun', u'\u05d4\u05d6\u05d3\u05de\u05e0\u05d5\u05ea')",155
"(u'noun', u'\u05d7\u05d5\u05e3')",155
"(u'noun', u'\u05d1\u05d8\u05df')",154
"(u'noun', u'\u05d7\u05d5\u05e1\u05e8')",154
"(u'noun', u'\u05e9\u05d9\u05e8\u05d5\u05ea')",153
"(u'noun', u'\u05d6\u05d9\u05db\u05e8\u05d5\u05df')",153
"(u'noun', u'\u05ea\u05e9\u05d5\u05d1\u05d4')",152
"(u'noun', u'\u05de\u05e2\u05d1\u05e8')",152
"(u'noun', u'\u05e0\u05e4\u05e9')",152
"(u'noun', u'\u05db\u05d1\u05d5\u05d3')",150
"(u'noun', u'\u05e0\u05e2\u05dc')",150
"(u'noun', u'\u05ea\u05d7\u05d9\u05dc\u05d4')",149
"(u'noun', u'\u05d8\u05e2\u05d5\u05ea')",148
"(u'noun', u'\u05e1\u05e4\u05e7')",147
"(u'noun', u'\u05d9\u05e9')",145
"(u'noun', u'\u05ea\u05e7\u05d5\u05d5\u05d4')",145
"(u'noun', u'\u05ea\u05d5\u05e6\u05d0\u05d4')",144
"(u'noun', u'\u05de\u05dc\u05d7\u05de\u05d4')",143
"(u'noun', u'\u05de\u05e8\u05d0\u05d4')",142
"(u'noun', u'\u05e9\u05e4\u05d4')",142
"(u'noun', u'\u05e7\u05e4\u05d4')",142
"(u'noun', u'\u05e4\u05d9\u05e0\u05d4')",142
"(u'noun', u'\u05e2\u05d5\u05e0\u05d4')",141
"(u'noun', u'\u05de\u05d8\u05e8\u05d4')",141
"(u'noun', u'\u05e2\u05e6\u05d1')",141
"(u'noun', u'\u05d2\u05d1')",140
"(u'noun', u'\u05e0\u05e1\u05d9\u05e2\u05d4')",138
"(u'noun', u'\u05e9\u05de\u05d9\u05d9\u05dd')",138
"(u'noun', u'\u05dc\u05d5\u05d5\u05d0\u05d9')",137
"(u'noun', u'\u05e4\u05d0\u05e8\u05e7')",137
"(u'noun', u'\u05e7\u05d9\u05e8')",136
"(u'noun', u'\u05d7\u05d6\u05e8\u05d4')",136
"(u'noun', u'\u05d4\u05d5\u05e4\u05e2\u05d4')",135
"(u'noun', u'\u05d1\u05d9\u05d8\u05d7\u05d5\u05df')",135
"(u'noun', u'\u05e0\u05d9\u05e1\u05d9\u05d5\u05df')",133
"(u'noun', u'\u05e1\u05d8\u05e8\u05d9\u05d9\u05d8')",133
"(u'noun', u'\u05d4\u05ea\u05e8\u05d2\u05e9\u05d5\u05ea')",133
"(u'noun', u'\u05e2\u05ea\u05d9\u05d3')",132
"(u'noun', u'\u05e9\u05e8')",132
"(u'noun', u'\u05d8\u05d5\u05d1')",131
"(u'noun', u'\u05ea\u05d9\u05e7')",131
"(u'noun', u'\u05d7\u05d1\u05dc')",131
"(u'noun', u'\u05e1\u05e4\u05d5\u05e8\u05d8')",130
"(u'noun', u'\u05de\u05e4\u05d2\u05e9')",129
"(u'noun', u'\u05e8\u05e2\u05d9\u05d5\u05df')",129
"(u'noun', u'\u05e9\u05d5\u05e7')",129
"(u'noun', u'\u05e1\u05e4\u05e1\u05dc')",129
"(u'noun', u'\u05d7\u05e0\u05d5\u05ea')",128
"(u'noun', u'\u05db\u05d5\u05e1')",128
"(u'noun', u'\u05e6\u05d4\u05e8\u05d9\u05d9\u05dd')",127
"(u'noun', u'\u05e1\u05d1\u05d9\u05d1\u05d4')",127
"(u'noun', u'\u05e0\u05e9\u05de\u05d4')",126
"(u'noun', u'\u05d0\u05d5\u05e4\u05d8\u05d9\u05de\u05d9\u05d5\u05ea')",126
"(u'noun', u'\u05de\u05d5\u05d5\u05ea')",126
"(u'noun', u'\u05e7\u05d9\u05e5')",126
"(u'noun', u'\u05de\u05e1\u05d2\u05e8\u05ea')",125
"(u'noun', u'\u05e2\u05d5\u05e6\u05de\u05d4')",125
"(u'noun', u'\u05dc\u05d0\u05de\u05d4')",124
"(u'noun', u'\u05d2\u05d1\u05d5\u05dc')",124
"(u'noun', u'\u05d4\u05d7\u05dc\u05d8\u05d4')",123
"(u'noun', u'\u05e7\u05d5')",123
"(u'noun', u'\u05d8\u05d5\u05d1\u05d4')",122
"(u'noun', u'\u05e4\u05e0\u05d9')",122
"(u'noun', u'\u05de\u05d9\u05d3\u05d4')",122
"(u'noun', u'\u05d4\u05d9\u05e1\u05d8\u05d5\u05e8\u05d9\u05d4')",122
"(u'noun', u'\u05e7\u05e8\u05d5\u05d1')",121
"(u'noun', u'\u05e8\u05e9\u05d9\u05de\u05d4')",121
"(u'noun', u'\u05de\u05d5\u05d7')",121
"(u'noun', u'\u05d3\u05dd')",121
"(u'noun', u'\u05e0\u05d5\u05e2\u05e8')",120
"(u'noun', u'\u05d0\u05d9\u05e8\u05d5\u05e2')",120
"(u'noun', u'\u05d7\u05d9\u05d9\u05dc')",120
"(u'noun', u'\u05de\u05e6\u05d9\u05d0\u05d5\u05ea')",119
"(u'noun', u'\u05e0\u05e9\u05d9\u05e7\u05d4')",118
"(u'noun', u'\u05e9\u05d5\u05e7\u05d5\u05dc\u05d3')",118
"(u'noun', u'\u05d7\u05d5\u05de\u05e8')",116
"(u'noun', u'\u05e2\u05d5\u05d3')",116
"(u'noun', u'\u05e6\u05d9\u05e4\u05d9\u05d9\u05d4')",116
"(u'noun', u'\u05d0\u05d9\u05e0\u05d8\u05e8\u05e0\u05d8')",115
"(u'noun', u'\u05de\u05dc\u05d5\u05df')",114
"(u'noun', u'\u05d0\u05d1\u05d0')",114
"(u'noun', u'\u05d0\u05e6\u05d1\u05e2')",114
"(u'noun', u'\u05e9\u05d5\u05dc\u05d7\u05df')",114
"(u'noun', u'\u05d7\u05d5\u05e8')",114
"(u'noun', u'\u05d7\u05d9\u05d1\u05d5\u05e7')",113
"(u'noun', u'\u05e4\u05e2\u05d5\u05dc\u05d4')",113
"(u'noun', u'\u05d9\u05d7\u05e1')",112
"(u'noun', u'\u05d0\u05d6\u05d5\u05e8')",111
"(u'noun', u'\u05e7\u05d5\u05e8\u05e1')",110
"(u'noun', u'\u05e6\u05d5\u05e8\u05da')",110
"(u'noun', u'\u05e2\u05e8\u05d9\u05db\u05d4')",109
"(u'noun', u'\u05d0\u05d5\u05e8\u05da')",109
"(u'noun', u'\u05e8\u05e2')",109
"(u'noun', u'\u05ea\u05e0\u05d5\u05e2\u05d4')",107
"(u'noun', u'\u05e0\u05d9\u05e6\u05d7\u05d5\u05df')",107
"(u'noun', u'\u05de\u05db\u05d5\u05e0\u05d9\u05ea')",107
"(u'noun', u'\u05de\u05db\u05ea\u05d1')",106
"(u'noun', u'\u05d4\u05e4\u05e1\u05e7\u05d4')",106
"(u'noun', u'\u05d6\u05db\u05e8')",106
"(u'noun', u'\u05de\u05d0\u05de\u05e5')",106
"(u'noun', u'\u05de\u05e2\u05e9\u05d4')",105
"(u'noun', u'\u05d0\u05d5\u05d6\u05df')",104
"(u'noun', u'\u05d0\u05d5\u05d5\u05d9\u05e8\u05d4')",104
"(u'noun', u'\u05d1\u05e8\u05d6\u05dc')",104
"(u'noun', u'\u05e0\u05e2\u05e8')",104
"(u'noun', u'\u05d2\u05d0\u05d5\u05d5\u05d4')",103
"(u'noun', u'\u05ea\u05e4\u05e7\u05d9\u05d3')",103
"(u'noun', u'\u05e9\u05de\u05e9')",102
"(u'noun', u'\u05e1\u05d9\u05de\u05df')",102
"(u'noun', u'\u05e2\u05d9\u05d9\u05e4\u05d5\u05ea')",102
"(u'noun', u'\u05d1\u05e1\u05d9\u05e1')",101
"(u'noun', u'\u05e6\u05dc\u05d9\u05dc')",101
"(u'noun', u'\u05e9\u05d0\u05dc\u05d5\u05df')",101
"(u'noun', u'\u05db\u05d9\u05e1\u05d0')",101
"(u'noun', u'\u05d0\u05e4\u05e9\u05e8\u05d5\u05ea')",101
"(u'noun', u'\u05e0\u05e9\u05d9\u05de\u05d4')",100
"(u'noun', u'\u05e4\u05e8\u05d8')",100
"(u'noun', u'\u05d9\u05d3\u05d9\u05d3')",99
"(u'noun', u'\u05ea\u05d7\u05ea')",99
"(u'noun', u'\u05de\u05de\u05e9')",99
"(u'noun', u'\u05ea\u05d5\u05d3\u05d4')",99
"(u'noun', u'\u05e8\u05e6\u05e4\u05d4')",98
"(u'noun', u'\u05d1\u05d3')",98
"(u'noun', u'\u05db\u05dc\u05d1')",97
"(u'noun', u'\u05de\u05d7\u05d9\u05e8')",97
"(u'noun', u'\u05de\u05ea\u05e0\u05d4')",96
"(u'noun', u'\u05d3\u05de\u05d5\u05ea')",96
"(u'noun', u'\u05e7\u05d4\u05dc')",96
"(u'noun', u'\u05d7\u05d5\u05e7')",96
"(u'noun', u'\u05e9\u05d9\u05d0')",96
"(u'noun', u'\u05e2\u05e5')",96
"(u'noun', u'\u05db\u05ea\u05d9\u05d1\u05d4')",95
"(u'noun', u'\u05d4\u05e4\u05ea\u05e2\u05d4')",95
"(u'noun', u'\u05e4\u05d9\u05d6\u05d9\u05e7\u05d4')",95
"(u'noun', u'\u05e7\u05d5\u05e8\u05d0')",95
"(u'noun', u'\u05e7\u05d5\u05e9\u05d9')",95
"(u'noun', u'\u05de\u05e8\u05db\u05d6')",95
"(u'noun', u'\u05e1\u05d3\u05e8')",94
"(u'noun', u'\u05e9\u05d1\u05d9\u05dc')",94
"(u'noun', u'\u05e2\u05d5\u05d1\u05d3')",94
"(u'noun', u'\u05d7\u05df')",93
"(u'noun', u'\u05d0\u05d5\u05ea')",93
"(u'noun', u'\u05d7\u05e1\u05e8')",93
"(u'noun', u'\u05d4\u05e4\u05e1\u05d3')",93
"(u'noun', u'\u05d4\u05d4\u05e0\u05d4')",93
"(u'noun', u'\u05e9\u05d9\u05e9')",92
"(u'noun', u'\u05e7\u05e6\u05d4')",92
"(u'noun', u'\u05d1\u05e8\u05d9\u05e8\u05d4')",92
"(u'noun', u'\u05de\u05e7\u05e6\u05d5\u05e2')",91
"(u'noun', u'\u05d0\u05d9\u05de\u05d0')",91
"(u'noun', u'\u05e7\u05e0\u05d9\u05d5\u05df')",90
"(u'noun', u'\u05d8\u05d9\u05e4\u05d4')",90
"(u'noun', u'\u05ea\u05e2\u05d5\u05d3\u05d4')",90
"(u'noun', u'\u05de\u05e0\u05d4')",90
"(u'noun', u'\u05d9\u05dc\u05d3\u05d5\u05ea')",89
"(u'noun', u'\u05d1\u05d9\u05e7\u05d5\u05e8')",89
"(u'noun', u'\u05e8\u05e7\u05e2')",89
"(u'noun', u'\u05e0\u05d9\u05d9\u05e8')",89
"(u'noun', u'\u05e6\u05d9\u05d5\u05df')",89
"(u'noun', u'\u05d9\u05d3\u05d9\u05e2\u05d4')",88
"(u'noun', u'\u05d7\u05d5\u05dc')",88
"(u'noun', u'\u05de\u05d7\u05e6\u05d9\u05ea')",88
"(u'noun', u'\u05de\u05db\u05d4')",88
"(u'noun', u'\u05d9\u05e6\u05d9\u05d0\u05d4')",88
"(u'noun', u'\u05d1\u05db\u05d9')",87
"(u'noun', u'\u05e8\u05d0\u05d5\u05ea')",87
"(u'noun', u'\u05de\u05e6\u05e2\u05d3')",87
"(u'noun', u'\u05d2\u05dc')",86
"(u'noun', u'\u05e7\u05e8\u05d9\u05d0\u05d4')",86
"(u'noun', u'\u05d4\u05e8')",86
"(u'noun', u'\u05e8\u05d1')",86
"(u'noun', u'\u05e9\u05d5\u05e8\u05d4')",86
"(u'noun', u'\u05de\u05db\u05e0\u05e1')",86
"(u'noun', u'\u05e4\u05dc\u05d0')",86
"(u'noun', u'\u05db\u05e2\u05e1')",86
"(u'noun', u'\u05d3\u05d9\u05e1\u05e7')",86
"(u'noun', u'\u05d8\u05d1\u05e2')",85
"(u'noun', u'\u05d8\u05e7\u05e1')",85
"(u'noun', u'\u05d3\u05d5\u05d3')",85
"(u'noun', u'\u05de\u05e1\u05e2')",85
"(u'noun', u'\u05d0\u05e3')",84
"(u'noun', u'\u05ea\u05d5\u05da')",84
"(u'noun', u'\u05d0\u05e9')",84
"(u'noun', u'\u05e9\u05d5\u05e4\u05d8')",84
"(u'noun', u'\u05e9\u05e2\u05e8')",83
"(u'noun', u'\u05ea\u05df')",83
"(u'noun', u'\u05de\u05d3\u05e2')",82
"(u'noun', u'\u05de\u05e2\u05d2\u05dc')",82
"(u'noun', u'\u05e4\u05e8\u05d7')",82
"(u'noun', u'\u05db\u05d1\u05d9\u05e9')",82
"(u'noun', u'\u05d4\u05d2\u05e0\u05d4')",82
"(u'noun', u'\u05e6\u05e2\u05d9\u05e8')",82
"(u'noun', u'\u05d4\u05e8\u05de\u05d4')",82
"(u'noun', u'\u05ea\u05d4\u05dc\u05d9\u05da')",82
"(u'noun', u'\u05db\u05e3')",81
"(u'noun', u'\u05e2\u05d6\u05e8\u05d4')",81
"(u'noun', u'\u05db\u05e8\u05d8\u05d9\u05e1')",81
"(u'noun', u'\u05d0\u05d1')",81
"(u'noun', u'\u05ea\u05d5\u05db\u05e0\u05d9\u05ea')",81
"(u'noun', u'\u05de\u05e1\u05e7\u05e0\u05d4')",80
"(u'noun', u'\u05e2\u05d9\u05ea\u05d5\u05df')",80
"(u'noun', u'\u05de\u05d2\u05e2')",80
"(u'noun', u'\u05d1\u05d5\u05d0')",80
"(u'noun', u'\u05e2\u05de\u05d5\u05d3')",80
"(u'noun', u'\u05e8\u05d5\u05e4\u05d0')",79
"(u'noun', u'\u05db\u05ea\u05d1')",79
"(u'noun', u'\u05de\u05d9\u05d8\u05d1')",79
"(u'noun', u'\u05d7\u05d9\u05dc\u05d5\u05df')",79
"(u'noun', u'\u05d2\u05e8\u05d5\u05df')",79
"(u'noun', u'\u05de\u05ea\u05db\u05d5\u05e0\u05ea')",79
"(u'noun', u'\u05db\u05d3\u05d5\u05e8\u05d2\u05dc')",78
"(u'noun', u'\u05de\u05d8\u05d4')",78
"(u'noun', u'\u05e2\u05d5\u05d2\u05d4')",78
"(u'noun', u'\u05e2\u05dc\u05d4')",78
"(u'noun', u'\u05d0\u05d9\u05d1\u05d5\u05d3')",78
"(u'noun', u'\u05d3\u05d9\u05e8\u05d4')",78
"(u'noun', u'\u05d1\u05d7\u05d9\u05e8')",78
"(u'noun', u'\u05de\u05e1\u05dc\u05d5\u05dc')",78
"(u'noun', u'\u05e0\u05d4\u05d2')",77
"(u'noun', u'\u05d0\u05d5\u05dc\u05dd')",77
"(u'noun', u'\u05e9\u05ea\u05d9\u05d9\u05d4')",77
"(u'noun', u'\u05d2\u05d5\u05d3\u05dc')",77
"(u'noun', u'\u05e1\u05e7\u05e1')",77
"(u'noun', u'\u05d4\u05d2\u05e2\u05d4')",76
"(u'noun', u'\u05e7\u05e1\u05dd')",76
"(u'noun', u'\u05e2\u05d9\u05e6\u05d5\u05d1')",76
"(u'noun', u'\u05ea\u05d0\u05e8\u05d9\u05da')",76
"(u'noun', u'\u05d7\u05d9\u05d4')",76
